BuildingClass,ZoningClassification,StreetFrontage,PlotSize,StreetType,AlleyAccess,PlotShape,LandFlatness,UtilitiesAvailable,PlotConfiguration,PlotSlope,BusinessDistrict,Proximity1,Proximity2,BuildingType,BuildingStyle,BuildingGrade,BuildingCondition,ConstructionYear,RenovationYear,RoofType,RoofMaterial,ExteriorCovering1,ExteriorCovering2,ExteriorFinishType,ExteriorFinishArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementQuality,BasementCondition,BasementExposure,BasementFinishType1,FinishedBasementArea1,BasementFinishType2,FinishedBasementArea2,UnfinishedBasementArea,BasementArea,HeatingType,HeatingQuality,CentralAirConditioning,ElectricalSystem,GroundFloorArea,UpperFloorArea,LowQualityArea,OfficeSpace,BasementRestrooms,BasementHalfRestrooms,Restrooms,HalfRestrooms,MeetingRooms,Pantries,PantryQuality,TotalRooms,FunctionalityRating,ConferenceRooms,ConferenceRoomQuality,ParkingType,ParkingConstructionYear,ParkingFinish,ParkingSpots,ParkingArea,ParkingQuality,ParkingCondition,PavedAccess,TerraceArea,OpenBalconyArea,EnclosedBalconyArea,3SsnPorch,ScreenedArea,RecreationArea,RecreationQuality,Perimeter,MiscellaneousFeature,MiscellaneousValue,MonthListed,YearListed,ListingType,ListingCondition,OfficeCategory
160.0,RL,68.0,11341.909858625027,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,8.0,4.0,1957.0,1996.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,BrkTil,Gd,TA,Mn,Unf,0.0,Unf,0.0,186.0,684.0,GasA,Ex,Y,SBrkr,972.0,1215.0,0.0,2263.729965792909,0,0,2,1,3,1,Gd,6,Typ,1,,,2001.0,RFn,2,672.0,TA,TA,P,0.0,232.74441851091785,178.64231923091756,0.0,0.0,0.0,,,,0.0,12.0,2007.0,New,Normal,4
60.0,RL,75.0,16756.988679517486,Pave,,IR1,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6.0,5.0,1993.0,1996.0,Gable,CompShg,VinylSd,VinylSd,,183.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,834.4699659334615,864.0,GasA,Ex,Y,SBrkr,955.0,1053.8449588413837,0.0,1981.0,0,0,2,1,4,1,Gd,8,Typ,1,,Detchd,2004.0,RFn,2,484.0,TA,TA,Y,357.6392746501099,0.0,0.0,0.0,0.0,0.0,,NA,,0.0,12.0,2009.0,WD,Normal,3
20.0,RL,68.0,7917.732221332543,Pave,,Reg,HLS,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6.0,9.0,1941.0,1995.0,Hip,CompShg,Wd Sdng,VinylSd,,0.0,TA,Gd,CBlock,Gd,TA,No,ALQ,608.0,Unf,0.0,77.54750501610133,630.0,GasA,Ex,Y,SBrkr,600.0,495.0,0.0,796.0,0,2,1,0,3,1,TA,4,Typ,0,,Detchd,1970.0,Unf,2,538.0,TA,TA,Y,38.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2009.0,WD,Normal,1
30.0,RL,,9316.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5.0,6.0,1915.0,1950.0,Gable,CompShg,Plywood,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Rec,451.17942711956016,381.0,1124.0302478450976,GasA,TA,Y,SBrkr,952.0,0.0,0.0,912.0,0,0,1,0,3,1,TA,6,Typ,1,,,1910.0,Unf,2,440.0,TA,TA,Y,64.0,0.0,208.0,0.0,0.0,0.0,,,,0.0,12.0,2006.0,ConLw,Abnorml,2
20.0,RL,,15600.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6.0,5.0,1970.0,1992.0,Gable,CompShg,MetalSd,MetalSd,,479.24916479197066,TA,TA,PConc,TA,TA,No,Unf,350.50601884386504,Unf,0.0,352.0,985.4919893261834,GasA,Ex,Y,SBrkr,1647.0,0.0,0.0,1908.0,1,0,2,1,3,1,Gd,7,Typ,1,,Detchd,1990.0,RFn,2,288.0,TA,TA,Y,100.0,150.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,2008.0,WD,Normal,2
60.0,FV,75.0,8550.0,Grvl,,Reg,HLS,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,2Story,5.0,5.0,2004.0,1996.0,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,NA,No,Unf,24.0,Unf,0.0,300.0,641.885665112736,GasA,Gd,Y,FuseA,1130.9166549004583,0.0,0.0,1340.0,0,0,2,0,3,1,TA,7,Typ,0,NA,Detchd,1979.0,Unf,2,440.0,TA,TA,Y,0.0,151.0,0.0,0.0,0.0,0.0,,NA,,0.0,8.0,2009.0,WD,Normal,1
20.0,RL,130.0,13770.206828754628,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,7.0,5.0,1994.0,1955.0,Gable,CompShg,Stucco,Plywood,,112.0,TA,TA,CBlock,Gd,TA,Av,Rec,36.0,Unf,0.0,635.0,1431.0,GasA,Ex,Y,SBrkr,1721.0,0.0,0.0,1872.0,0,0,1,0,3,1,TA,8,Typ,0,NA,Detchd,1960.0,Fin,3,836.5625564248767,TA,TA,Y,92.32262304403949,44.0,0.0,0.0,0.0,0.0,,NA,,0.0,11.0,2006.0,COD,Normal,4
50.0,RL,67.0,9055.173805047976,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8.0,5.0,2003.0,2004.0,Gable,CompShg,CemntBd,CmentBd,,275.0,Gd,TA,PConc,Gd,Gd,Av,GLQ,720.0,Unf,0.0,667.9458969107595,1484.0,GasA,Ex,Y,SBrkr,1368.0,648.0,0.0,1792.0,1,0,2,1,3,1,Gd,6,Typ,2,Ex,Attchd,1994.0,RFn,2,775.6371812501148,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,NA,,0.0,7.0,2006.0,New,Normal,4
20.0,RL,63.0,11500.0,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,5.0,6.0,1976.0,2005.0,Gable,CompShg,VinylSd,Plywood,,0.0,TA,TA,CBlock,TA,TA,Mn,GLQ,994.2007179108988,Unf,0.0,576.0,1573.0,GasA,Ex,Y,SBrkr,1541.0,0.0,0.0,980.0,1,0,1,0,3,1,Fa,6,Typ,0,,Attchd,1994.0,RFn,1,377.70380791300465,TA,Fa,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,6.0,2009.0,WD,Normal,0
20.0,RL,65.0,8402.0,Pave,,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,6.0,1941.0,1988.0,Gable,CompShg,VinylSd,VinylSd,,,TA,TA,CBlock,Fa,TA,,ALQ,962.0,Unf,0.0,55.45051442733125,793.0,GasA,TA,N,SBrkr,1151.5111042804047,0.0,0.0,832.6614730473426,1,0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1977.0,,1,288.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,WD,Normal,1
20.0,FV,110.0,13051.913839417803,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6.0,5.0,1966.0,1965.0,Gable,CompShg,HdBoard,MetalSd,,14.0,TA,TA,CBlock,TA,TA,No,Unf,144.0,Unf,0.0,1158.0,1039.280718031829,GasA,TA,N,FuseA,1728.0,0.0,0.0,2280.862397495928,0,0,2,0,5,1,TA,9,Min2,1,TA,Attchd,1963.0,Unf,2,400.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,WD,Abnorml,4
160.0,RL,77.0,10133.964351180304,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8.0,5.0,1978.0,1957.0,Gable,CompShg,BrkFace,HdBoard,,0.0,Gd,TA,CBlock,TA,TA,No,BLQ,539.0,Rec,448.2572179121717,172.0,912.0,GasA,TA,Y,SBrkr,1179.5478125381455,1341.1640721537738,0.0,2623.595273231511,0,0,2,1,3,1,Ex,10,Typ,1,Gd,Detchd,1973.0,RFn,3,724.0,TA,TA,Y,0.0,0.0,81.0,0.0,0.0,0.0,,,,0.0,7.0,2007.0,WD,Normal,4
20.0,RL,60.0,4936.4967920312765,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Feedr,Norm,1Fam,1Story,4.0,6.0,1920.0,1950.0,Gable,CompShg,BrkFace,CmentBd,BrkFace,0.0,Fa,Fa,CBlock,NA,TA,No,Unf,0.0,Unf,0.0,192.0,530.5593090673789,GasA,TA,Y,SBrkr,724.9052697662676,0.0,0.0,768.0,1,0,1,0,2,1,Fa,4,Typ,0,,Attchd,1949.0,Unf,0,0.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,NA,,0.0,3.0,2007.0,WD,Abnorml,3
60.0,FV,80.0,11235.0,Pave,,Reg,Lvl,AllPub,CulDSac,Gtl,BrkSide,Norm,Norm,1Fam,2Story,7.0,6.0,1994.0,1992.0,Gable,CompShg,MetalSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,401.0984266482367,,0.0,876.0,768.0,GasA,Ex,Y,SBrkr,864.0,538.1329440913715,0.0,1341.7316124784752,0,0,2,0,3,1,Gd,6,Typ,0,,,1993.0,RFn,2,484.0,TA,TA,Y,192.0,105.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2008.0,WD,Normal,2
120.0,RM,115.98645103870624,18470.47999180006,Pave,,IR3,Low,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,8.0,8.0,1952.0,1962.0,Gable,Tar&Grv,VinylSd,VinylSd,Stone,0.0,TA,TA,CBlock,TA,TA,Av,Unf,16.0,Rec,376.3802238698308,490.0,1050.0,GasA,TA,Y,SBrkr,1368.0,1015.9940991188898,0.0,2414.614057090192,0,0,2,0,4,3,Gd,10,Typ,0,NA,Detchd,1959.0,Unf,2,308.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,9.0,2006.0,WD,Normal,4
80.0,RL,110.0,16652.661646726727,Pave,,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,8.0,7.0,1959.0,2000.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,BrkTil,,Gd,No,GLQ,913.8045448320254,GLQ,436.1073176728253,819.5157423556607,1572.0,GasA,Gd,Y,SBrkr,1144.0,1591.3791518230867,0.0,2582.6533545951334,0,0,2,1,4,1,Gd,11,Typ,2,Ex,Attchd,1956.0,RFn,3,920.2607536254885,TA,TA,Y,262.0,0.0,248.07957520540143,0.0,0.0,0.0,,,,0.0,5.0,2007.0,WD,Normal,4
60.0,RL,,6437.947774034776,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,6.0,5.0,2002.0,1997.0,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,639.0,Unf,0.0,0.0,939.360183713289,GasA,Ex,Y,SBrkr,858.0,0.0,0.0,1196.0,0,0,2,1,3,1,Gd,6,Typ,0,NA,Attchd,1997.0,Unf,1,304.1461621575883,TA,TA,Y,0.0,70.0,0.0,0.0,0.0,0.0,,NA,,0.0,3.0,2007.0,New,Normal,1
60.0,RL,68.0,16770.0,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,RRAe,Norm,1Fam,1Story,8.0,5.0,2006.0,2005.0,Gable,CompShg,Wd Sdng,Wd Sdng,,104.0,Gd,TA,PConc,Ex,TA,Av,ALQ,500.25068832797933,Unf,0.0,594.0,1812.2229659708696,GasA,Ex,Y,SBrkr,2229.267194332121,0.0,0.0,2655.2400013909764,1,0,2,1,3,1,Gd,8,Typ,1,,Detchd,2005.0,Fin,3,880.0,TA,TA,Y,0.0,127.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2008.0,WD,Normal,4
60.0,RL,90.0,11700.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1.5Fin,5.0,5.0,1954.0,1950.0,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,Rec,24.0,Unf,0.0,1709.2914355092907,982.0,GasA,Ex,N,SBrkr,767.1085990737475,899.7093310845762,0.0,1445.0,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1958.0,RFn,2,528.0,TA,TA,Y,0.0,200.0,112.0,0.0,0.0,0.0,,,,0.0,9.0,2008.0,WD,Normal,0
20.0,RL,24.0,7938.8373213666755,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,7.0,5.0,1939.0,1976.0,Gable,CompShg,MetalSd,MetalSd,,0.0,Gd,TA,BrkTil,Gd,TA,No,BLQ,350.0,Unf,0.0,1233.234756491835,1330.0,GasA,Ex,Y,SBrkr,1082.385119301374,0.0,0.0,1284.0228277760068,0,0,1,0,3,1,Gd,6,Typ,0,,Attchd,1956.0,Fin,2,450.0,TA,,Y,120.0,28.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2008.0,WD,Normal,2
20.0,RL,70.0,11882.799436793412,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2.5Fin,6.0,5.0,2006.0,2003.0,Gable,CompShg,MetalSd,HdBoard,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Rec,270.06123338649536,426.0,1422.0,GasA,Gd,Y,SBrkr,1641.5484541718447,0.0,0.0,1689.0,0,0,2,0,3,1,TA,6,Typ,1,Gd,Attchd,1997.0,Unf,2,553.6464337363922,TA,TA,Y,240.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,4.0,2007.0,New,Normal,3
20.0,RL,85.0,14777.67387767546,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1963.0,1996.0,Gable,CompShg,BrkFace,MetalSd,,40.0,TA,TA,PConc,Gd,TA,Mn,BLQ,375.23867847270463,Unf,0.0,1572.6611649164338,1516.3662495085478,GasA,Ex,Y,SBrkr,1605.3529344411684,0.0,0.0,1624.0,0,0,2,0,3,1,Gd,7,Typ,0,NA,BuiltIn,1994.0,NA,0,240.0,NA,,Y,150.0,64.0,0.0,0.0,0.0,0.0,,,,0.0,3.0,2008.0,WD,Normal,1
70.0,RM,42.0,5732.467462616589,Pave,,Reg,Lvl,AllPub,CulDSac,Gtl,CollgCr,Feedr,Norm,TwnhsE,1Story,5.0,9.0,1960.0,2010.0,Gable,CompShg,Wd Sdng,Stucco,,0.0,Gd,Gd,CBlock,TA,TA,No,Rec,224.17349021577152,Rec,376.77538004440356,348.0,760.1224985012666,GasA,Ex,Y,SBrkr,738.0,315.86129044580287,0.0,1147.2666749516893,1,0,1,1,3,1,Gd,5,Typ,0,,BuiltIn,1974.0,Fin,2,432.0,TA,TA,Y,184.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.0,2009.0,WD,Normal,1
120.0,RL,72.0,7473.9239642029115,Pave,,IR1,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,1Fam,SLvl,7.0,6.0,1986.0,2000.0,Gable,CompShg,Plywood,Plywood,,128.0,TA,Gd,CBlock,TA,TA,Av,,341.0,,0.0,448.0,768.0,GasA,Ex,Y,SBrkr,1138.0,0.0,0.0,1609.1613864429464,1,0,2,0,3,1,Ex,8,Typ,0,,Attchd,1997.0,Fin,2,830.1879379447541,TA,TA,Y,212.0,64.0,0.0,0.0,0.0,0.0,,,,0.0,10.0,2008.0,WD,Normal,3
20.0,RL,43.0,2117.0,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,7.0,8.0,1979.0,1975.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,CBlock,,TA,No,ALQ,353.0,Unf,0.0,963.310038126013,1090.0,GasA,Ex,Y,SBrkr,808.0,0.0,0.0,879.0,1,0,1,1,0,1,Gd,3,Typ,0,NA,Attchd,1972.0,RFn,2,515.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,8.0,2009.0,WD,Normal,3
60.0,RL,80.0,12366.538670306983,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5.0,5.0,1953.0,1987.0,Gable,CompShg,VinylSd,Plywood,,0.0,Gd,TA,PConc,TA,NA,No,Unf,209.85196662169244,Unf,0.0,369.0,654.3361323972587,GasA,TA,N,FuseF,1584.0,0.0,0.0,1601.9328503659756,0,0,2,0,4,1,Gd,6,Typ,1,,Attchd,1964.0,RFn,2,515.0,TA,TA,Y,0.0,90.0,0.0,0.0,0.0,0.0,,NA,,0.0,3.0,2009.0,WD,Partial,1
90.0,RL,90.0,3604.791040208438,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1965.0,1963.0,Gable,CompShg,Wd Sdng,VinylSd,BrkFace,456.0,TA,Gd,CBlock,Gd,TA,No,Rec,24.0,Unf,0.0,720.219076869521,916.0,GasA,Ex,Y,SBrkr,894.0,576.09518564229,0.0,1314.0,0,0,2,0,3,1,TA,7,Typ,1,Fa,Detchd,1946.0,Unf,1,300.0,TA,TA,Y,0.0,0.0,66.92768375546252,0.0,0.0,0.0,,,,0.0,7.0,2006.0,WD,Normal,0
60.0,RL,,11665.013771012096,Pave,,Reg,HLS,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,SLvl,7.0,5.0,2002.0,2006.0,Gable,CompShg,HdBoard,CmentBd,,128.0,TA,TA,PConc,Gd,TA,No,GLQ,1358.7431474187417,Unf,0.0,45.544756272166524,1358.0,GasA,TA,Y,SBrkr,948.0,0.0,0.0,1318.8942321372754,1,1,2,1,2,1,Gd,6,Typ,1,,Attchd,2005.0,RFn,2,540.0,TA,TA,Y,0.0,33.0,96.0,0.0,0.0,0.0,,,,0.0,12.0,2008.0,WD,Normal,3
20.0,RL,50.0,7053.807324710604,Pave,,Reg,Low,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,2Story,7.0,5.0,2006.0,2006.0,Gable,CompShg,WdShing,Wd Shng,,574.0022571580676,Gd,Fa,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,511.9141504781692,1200.8673894317697,GasA,Ex,Y,SBrkr,1248.0,0.0,0.0,1040.0,0,0,2,0,2,1,TA,5,Typ,0,,Attchd,,RFn,2,660.0,TA,TA,Y,108.0,50.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2007.0,WD,Normal,3
60.0,RL,88.0,12256.9233475816,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,7.0,5.0,2000.0,1950.0,Gable,CompShg,VinylSd,VinylSd,,108.0,TA,Fa,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,1372.783212674301,1127.0,GasA,TA,Y,SBrkr,910.0,977.6569364604314,0.0,1652.1298998293996,0,0,2,0,3,1,TA,8,Typ,0,,Detchd,2004.0,Fin,4,932.0,,Gd,Y,232.56619634462447,27.0,0.0,0.0,0.0,0.0,,,,0.0,5.0,2006.0,WD,Partial,3
120.0,RL,80.0,9600.0,Pave,,Reg,Bnk,AllPub,Corner,Gtl,NWAmes,Feedr,Norm,1Fam,1.5Unf,5.0,5.0,1957.0,1952.0,Gable,CompShg,BrkFace,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,No,GLQ,998.0,Unf,0.0,487.7557764192468,1018.8802028110704,GasA,TA,Y,SBrkr,901.0,699.0165517802883,0.0,1346.0,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1948.0,Unf,2,288.0,TA,TA,Y,210.0,0.0,0.0,0.0,0.0,0.0,,GdPrv,,0.0,6.0,2008.0,WD,Normal,0
